,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
60,sapture,short,5,,,simple,pseudo,,"['S', 'AE1', 'P', 'CH', 'ER0']","['S', 'AE', 'P', 'CH', 'ER']",PSS
61,satchet,short,5,,,simple,pseudo,,"['S', 'AE1', 'CH', 'AH0', 'T']","['S', 'AE', 'CH', 'AH', 'T']",PSS
62,satural,short,6,,,simple,pseudo,,"['S', 'AE1', 'CH', 'ER0', 'AH0', 'L']","['S', 'AE', 'CH', 'ER', 'AH', 'L']",PSS
63,savance,short,6,,,simple,pseudo,,"['S', 'AE1', 'V', 'AH0', 'N', 'S']","['S', 'AE', 'V', 'AH', 'N', 'S']",PSS
64,shalage,short,5,,,simple,pseudo,,"['SH', 'AE1', 'L', 'IH0', 'JH']","['SH', 'AE', 'L', 'IH', 'JH']",PSS
65,strophy,short,6,,,simple,pseudo,,"['S', 'T', 'R', 'AA1', 'F', 'IY0']","['S', 'T', 'R', 'AA', 'F', 'IY']",PSS
66,vaccial,short,5,,,simple,pseudo,,"['V', 'AE1', 'CH', 'AH0', 'L']","['V', 'AE', 'CH', 'AH', 'L']",PSS
67,vilence,short,6,,,simple,pseudo,,"['V', 'AY1', 'L', 'AH0', 'N', 'S']","['V', 'AY', 'L', 'AH', 'N', 'S']",PSS
68,vilenue,short,6,,,simple,pseudo,,"['V', 'IY0', 'L', 'EY0', 'N', 'OW1']","['V', 'IY', 'L', 'EY', 'N', 'OW']",PSS
69,vileron,short,6,,,simple,pseudo,,"['V', 'IH1', 'L', 'ER0', 'AH0', 'N']","['V', 'IH', 'L', 'ER', 'AH', 'N']",PSS
70,vithout,short,5,,,simple,pseudo,,"['V', 'IH1', 'TH', 'AW2', 'T']","['V', 'IH', 'TH', 'AW', 'T']",PSS
71,welfary,short,6,,,simple,pseudo,,"['W', 'EH1', 'L', 'F', 'ER0', 'IY0']","['W', 'EH', 'L', 'F', 'ER', 'IY']",PSS
72,whithol,short,5,,,simple,pseudo,,"['W', 'IH1', 'TH', 'AH0', 'L']","['W', 'IH', 'TH', 'AH', 'L']",PSS
73,witchen,short,5,,,simple,pseudo,,"['W', 'IH1', 'CH', 'AH0', 'N']","['W', 'IH', 'CH', 'AH', 'N']",PSS
74,witchet,short,5,,,simple,pseudo,,"['W', 'IH1', 'CH', 'AH0', 'T']","['W', 'IH', 'CH', 'AH', 'T']",PSS
75,absource,short,6,,,simple,pseudo,,"['AH0', 'B', 'Z', 'AO1', 'R', 'S']","['AH', 'B', 'Z', 'AO', 'R', 'S']",PSS
76,bushrome,short,6,,,simple,pseudo,,"['B', 'UH1', 'SH', 'R', 'OW2', 'M']","['B', 'UH', 'SH', 'R', 'OW', 'M']",PSS
77,cassence,short,6,,,simple,pseudo,,"['K', 'AE1', 'S', 'AH0', 'N', 'S']","['K', 'AE', 'S', 'AH', 'N', 'S']",PSS
78,casserve,short,5,,,simple,pseudo,,"['K', 'AH0', 'S', 'ER1', 'V']","['K', 'AH', 'S', 'ER', 'V']",PSS
79,cershant,short,6,,,simple,pseudo,,"['S', 'ER1', 'SH', 'AH0', 'N', 'T']","['S', 'ER', 'SH', 'AH', 'N', 'T']",PSS
80,cremiere,short,6,,,simple,pseudo,,"['K', 'R', 'EH1', 'M', 'AY0', 'R']","['K', 'R', 'EH', 'M', 'AY', 'R']",PSS
81,creserve,short,6,,,simple,pseudo,,"['K', 'R', 'EH1', 'S', 'ER0', 'V']","['K', 'R', 'EH', 'S', 'ER', 'V']",PSS
82,curprich,short,6,,,simple,pseudo,,"['K', 'ER1', 'P', 'R', 'IH0', 'K']","['K', 'ER', 'P', 'R', 'IH', 'K']",PSS
83,curprise,short,6,,,simple,pseudo,,"['K', 'ER1', 'P', 'R', 'AY0', 'Z']","['K', 'ER', 'P', 'R', 'AY', 'Z']",PSS
84,currease,short,4,,,simple,pseudo,,"['K', 'ER0', 'IY1', 'S']","['K', 'ER', 'IY', 'S']",PSS
85,diabette,short,6,,,simple,pseudo,,"['D', 'AY2', 'AH0', 'B', 'EH1', 'T']","['D', 'AY', 'AH', 'B', 'EH', 'T']",PSS
86,eleather,short,5,,,simple,pseudo,,"['EH1', 'L', 'AH0', 'TH', 'ER0']","['EH', 'L', 'AH', 'TH', 'ER']",PSS
87,freasite,short,6,,,simple,pseudo,,"['F', 'R', 'IY1', 'Z', 'IH0', 'T']","['F', 'R', 'IY', 'Z', 'IH', 'T']",PSS
88,gargeous,short,6,,,simple,pseudo,,"['G', 'AA1', 'R', 'JH', 'AH0', 'S']","['G', 'AA', 'R', 'JH', 'AH', 'S']",PSS
89,maintait,short,6,,,simple,pseudo,,"['M', 'EY1', 'N', 'T', 'EY2', 'T']","['M', 'EY', 'N', 'T', 'EY', 'T']",PSS
90,maraight,short,5,,,simple,pseudo,,"['M', 'AE1', 'R', 'AH0', 'T']","['M', 'AE', 'R', 'AH', 'T']",PSS
91,margoyle,short,6,,,simple,pseudo,,"['M', 'AA1', 'R', 'G', 'OY2', 'L']","['M', 'AA', 'R', 'G', 'OY', 'L']",PSS
92,mountait,short,6,,,simple,pseudo,,"['M', 'AW1', 'N', 'T', 'IH0', 'T']","['M', 'AW', 'N', 'T', 'IH', 'T']",PSS
93,mountime,short,6,,,simple,pseudo,,"['M', 'AW1', 'N', 'T', 'AY2', 'M']","['M', 'AW', 'N', 'T', 'AY', 'M']",PSS
94,mushrome,short,6,,,simple,pseudo,,"['M', 'AH1', 'SH', 'R', 'OW2', 'M']","['M', 'AH', 'SH', 'R', 'OW', 'M']",PSS
95,paration,short,6,,,simple,pseudo,,"['P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['P', 'ER', 'EY', 'SH', 'AH', 'N']",PSS
96,pargoyle,short,6,,,simple,pseudo,,"['P', 'AA1', 'R', 'G', 'OW2', 'L']","['P', 'AA', 'R', 'G', 'OW', 'L']",PSS
97,porgeous,short,6,,,simple,pseudo,,"['P', 'AO1', 'R', 'JH', 'AH0', 'S']","['P', 'AO', 'R', 'JH', 'AH', 'S']",PSS
98,resounce,short,6,,,simple,pseudo,,"['R', 'IY0', 'S', 'UW1', 'N', 'S']","['R', 'IY', 'S', 'UW', 'N', 'S']",PSS
99,scenacle,short,6,,,simple,pseudo,,"['S', 'EH1', 'N', 'CH', 'AH0', 'L']","['S', 'EH', 'N', 'CH', 'AH', 'L']",PSS
100,susiness,short,6,,,simple,pseudo,,"['S', 'UW1', 'Z', 'N', 'AH0', 'S']","['S', 'UW', 'Z', 'N', 'AH', 'S']",PSS
101,syndroom,short,6,,,simple,pseudo,,"['S', 'IH1', 'D', 'R', 'AH0', 'M']","['S', 'IH', 'D', 'R', 'AH', 'M']",PSS
102,thoulder,short,5,,,simple,pseudo,,"['TH', 'OW1', 'L', 'D', 'ER0']","['TH', 'OW', 'L', 'D', 'ER']",PSS
103,thousant,short,6,,,simple,pseudo,,"['TH', 'AW1', 'Z', 'AH0', 'N', 'T']","['TH', 'AW', 'Z', 'AH', 'N', 'T']",PSS
104,apparrang,short,6,,,simple,pseudo,,"['AH0', 'P', 'AE1', 'R', 'AH0', 'NG']","['AH', 'P', 'AE', 'R', 'AH', 'NG']",PSS
105,bouleague,short,5,,,simple,pseudo,,"['B', 'UW1', 'L', 'AH0', 'G']","['B', 'UW', 'L', 'AH', 'G']",PSS
106,chamerane,short,6,,,simple,pseudo,,"['CH', 'AE1', 'M', 'ER0', 'N', 'EY2']","['CH', 'AE', 'M', 'ER', 'N', 'EY']",PSS
107,chameraph,short,6,,,simple,pseudo,,"['CH', 'EH1', 'M', 'ER0', 'F', 'AA2']","['CH', 'EH', 'M', 'ER', 'F', 'AA']",PSS
108,champague,short,6,,,simple,pseudo,,"['CH', 'AE1', 'M', 'P', 'AH0', 'JH']","['CH', 'AE', 'M', 'P', 'AH', 'JH']",PSS
109,champaine,short,6,,,simple,pseudo,,"['CH', 'AE0', 'M', 'P', 'EY1', 'N']","['CH', 'AE', 'M', 'P', 'EY', 'N']",PSS
110,coallenge,short,6,,,simple,pseudo,,"['K', 'OW1', 'AH0', 'L', 'EH2', 'NG']","['K', 'OW', 'AH', 'L', 'EH', 'NG']",PSS
111,deservoir,short,6,,,simple,pseudo,,"['D', 'EH1', 'Z', 'ER0', 'V', 'OY2']","['D', 'EH', 'Z', 'ER', 'V', 'OY']",PSS
112,embarraph,short,6,,,simple,pseudo,,"['EH1', 'M', 'B', 'R', 'AA0', 'F']","['EH', 'M', 'B', 'R', 'AA', 'F']",PSS
113,emergenge,short,6,,,simple,pseudo,,"['IH0', 'M', 'ER1', 'JH', 'IH0', 'NG']","['IH', 'M', 'ER', 'JH', 'IH', 'NG']",PSS
114,furrenger,short,5,,,simple,pseudo,,"['F', 'ER1', 'IH0', 'NG', 'ER0']","['F', 'ER', 'IH', 'NG', 'ER']",PSS
115,furricane,short,6,,,simple,pseudo,,"['F', 'ER1', 'K', 'AH0', 'N', 'EY2']","['F', 'ER', 'K', 'AH', 'N', 'EY']",PSS
116,hurrenger,short,6,,,simple,pseudo,,"['HH', 'ER1', 'IH0', 'N', 'JH', 'ER0']","['HH', 'ER', 'IH', 'N', 'JH', 'ER']",PSS
117,surricane,short,6,,,simple,pseudo,,"['S', 'ER1', 'AH0', 'K', 'EY2', 'N']","['S', 'ER', 'AH', 'K', 'EY', 'N']",PSS
118,advange,short,5,,,simple,pseudo,,"['AH0', 'D', 'V', 'EY1', 'NG']","['AH', 'D', 'V', 'EY', 'NG']",PSS
119,alleron,short,5,,,simple,pseudo,,"['AE1', 'L', 'ER0', 'AH0', 'N']","['AE', 'L', 'ER', 'AH', 'N']",PSS
120,blemiss,short,6,,,simple,pseudo,,"['B', 'L', 'EH1', 'M', 'IH0', 'S']","['B', 'L', 'EH', 'M', 'IH', 'S']",PSS
121,cisteel,short,6,,,simple,pseudo,,"['S', 'IH1', 'S', 'T', 'IY2', 'L']","['S', 'IH', 'S', 'T', 'IY', 'L']",PSS
122,despitt,short,6,,,simple,pseudo,,"['D', 'EH1', 'S', 'P', 'IH0', 'T']","['D', 'EH', 'S', 'P', 'IH', 'T']",PSS
123,gravite,short,6,,,simple,pseudo,,"['G', 'R', 'AE1', 'V', 'IH0', 'T']","['G', 'R', 'AE', 'V', 'IH', 'T']",PSS
124,librare,short,6,,,simple,pseudo,,"['L', 'AY1', 'B', 'R', 'EY2', 'R']","['L', 'AY', 'B', 'R', 'EY', 'R']",PSS
125,mysteel,short,6,,,simple,pseudo,,"['M', 'IH1', 'S', 'T', 'IY2', 'L']","['M', 'IH', 'S', 'T', 'IY', 'L']",PSS
126,natcher,short,4,,,simple,pseudo,,"['N', 'AE1', 'CH', 'ER0']","['N', 'AE', 'CH', 'ER']",PSS
127,patural,short,6,,,simple,pseudo,,"['P', 'AE1', 'CH', 'ER0', 'AH0', 'L']","['P', 'AE', 'CH', 'ER', 'AH', 'L']",PSS
128,phalgam,short,6,,,simple,pseudo,,"['F', 'AE1', 'L', 'G', 'AH0', 'M']","['F', 'AE', 'L', 'G', 'AH', 'M']",PSS
129,vilence,short,6,,,simple,pseudo,,"['V', 'AY1', 'L', 'AH0', 'N', 'S']","['V', 'AY', 'L', 'AH', 'N', 'S']",PSS
130,welfary,short,6,,,simple,pseudo,,"['W', 'EH1', 'L', 'F', 'ER0', 'IY0']","['W', 'EH', 'L', 'F', 'ER', 'IY']",PSS
131,bushrome,short,6,,,simple,pseudo,,"['B', 'UH1', 'SH', 'R', 'OW2', 'M']","['B', 'UH', 'SH', 'R', 'OW', 'M']",PSS
132,creserve,short,6,,,simple,pseudo,,"['K', 'R', 'EH1', 'S', 'ER0', 'V']","['K', 'R', 'EH', 'S', 'ER', 'V']",PSS
133,gargeous,short,6,,,simple,pseudo,,"['G', 'AA1', 'R', 'JH', 'AH0', 'S']","['G', 'AA', 'R', 'JH', 'AH', 'S']",PSS
134,mountait,short,6,,,simple,pseudo,,"['M', 'AW1', 'N', 'T', 'IH0', 'T']","['M', 'AW', 'N', 'T', 'IH', 'T']",PSS
135,paration,short,6,,,simple,pseudo,,"['P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['P', 'ER', 'EY', 'SH', 'AH', 'N']",PSS
136,thoulder,short,5,,,simple,pseudo,,"['TH', 'OW1', 'L', 'D', 'ER0']","['TH', 'OW', 'L', 'D', 'ER']",PSS
137,thousant,short,6,,,simple,pseudo,,"['TH', 'AW1', 'Z', 'AH0', 'N', 'T']","['TH', 'AW', 'Z', 'AH', 'N', 'T']",PSS
138,champague,short,6,,,simple,pseudo,,"['CH', 'AE1', 'M', 'P', 'AH0', 'JH']","['CH', 'AE', 'M', 'P', 'AH', 'JH']",PSS
139,deservoir,short,6,,,simple,pseudo,,"['D', 'EH1', 'Z', 'ER0', 'V', 'OY2']","['D', 'EH', 'Z', 'ER', 'V', 'OY']",PSS
140,emergenge,short,6,,,simple,pseudo,,"['IH0', 'M', 'ER1', 'JH', 'IH0', 'NG']","['IH', 'M', 'ER', 'JH', 'IH', 'NG']",PSS
141,furricane,short,6,,,simple,pseudo,,"['F', 'ER1', 'K', 'AH0', 'N', 'EY2']","['F', 'ER', 'K', 'AH', 'N', 'EY']",PSS
142,acia,short,4,,,simple,pseudo,,"['EY1', 'S', 'IY0', 'AH0']","['EY', 'S', 'IY', 'AH']",PSS
143,acin,short,4,,,simple,pseudo,,"['EY1', 'S', 'IH0', 'N']","['EY', 'S', 'IH', 'N']",PSS
144,acip,short,4,,,simple,pseudo,,"['EY1', 'S', 'AH0', 'P']","['EY', 'S', 'AH', 'P']",PSS
145,acit,short,4,,,simple,pseudo,,"['AE1', 'S', 'IH0', 'T']","['AE', 'S', 'IH', 'T']",PSS
146,ajan,short,4,,,simple,pseudo,,"['EY1', 'JH', 'AH0', 'N']","['EY', 'JH', 'AH', 'N']",PSS
147,alab,short,4,,,simple,pseudo,,"['AH0', 'L', 'AA1', 'B']","['AH', 'L', 'AA', 'B']",PSS
148,alam,short,4,,,simple,pseudo,,"['AH0', 'L', 'AE1', 'M']","['AH', 'L', 'AE', 'M']",PSS
149,alat,short,4,,,simple,pseudo,,"['AH0', 'L', 'AE1', 'T']","['AH', 'L', 'AE', 'T']",PSS
150,alen,short,4,,,simple,pseudo,,"['EY1', 'L', 'AH0', 'N']","['EY', 'L', 'AH', 'N']",PSS
151,alld,short,3,,,simple,pseudo,,"['AO1', 'L', 'D']","['AO', 'L', 'D']",PSS
152,allk,short,3,,,simple,pseudo,,"['AO1', 'L', 'K']","['AO', 'L', 'K']",PSS
153,anth,short,3,,,simple,pseudo,,"['AE1', 'N', 'TH']","['AE', 'N', 'TH']",PSS
154,anth,short,3,,,simple,pseudo,,"['AE1', 'N', 'TH']","['AE', 'N', 'TH']",PSS
155,aram,short,4,,,simple,pseudo,,"['EH1', 'R', 'AH0', 'M']","['EH', 'R', 'AH', 'M']",PSS
156,arar,short,3,,,simple,pseudo,,"['ER0', 'AA1', 'R']","['ER', 'AA', 'R']",PSS
157,arat,short,4,,,simple,pseudo,,"['AA0', 'R', 'AA1', 'T']","['AA', 'R', 'AA', 'T']",PSS
158,arux,short,4,,,simple,pseudo,,"['AE1', 'R', 'AH0', 'K']","['AE', 'R', 'AH', 'K']",PSS
159,arux,short,4,,,simple,pseudo,,"['AE1', 'R', 'AH0', 'K']","['AE', 'R', 'AH', 'K']",PSS
160,asid,short,4,,,simple,pseudo,,"['AH0', 'S', 'IH1', 'D']","['AH', 'S', 'IH', 'D']",PSS
161,asin,short,4,,,simple,pseudo,,"['EY1', 'S', 'IH0', 'N']","['EY', 'S', 'IH', 'N']",PSS
162,asip,short,4,,,simple,pseudo,,"['AH0', 'S', 'IH1', 'P']","['AH', 'S', 'IH', 'P']",PSS
163,bain,short,3,,,simple,pseudo,,"['B', 'EY1', 'N']","['B', 'EY', 'N']",PSS
164,bain,short,3,,,simple,pseudo,,"['B', 'EY1', 'N']","['B', 'EY', 'N']",PSS
165,baip,short,3,,,simple,pseudo,,"['B', 'AY1', 'P']","['B', 'AY', 'P']",PSS
166,bart,short,4,,,simple,pseudo,,"['B', 'AA1', 'R', 'T']","['B', 'AA', 'R', 'T']",PSS
167,beft,short,4,,,simple,pseudo,,"['B', 'EH1', 'F', 'T']","['B', 'EH', 'F', 'T']",PSS
168,cran,short,4,,,simple,pseudo,,"['K', 'R', 'AE1', 'N']","['K', 'R', 'AE', 'N']",PSS
169,crar,short,4,,,simple,pseudo,,"['K', 'R', 'AA1', 'R']","['K', 'R', 'AA', 'R']",PSS
170,crar,short,4,,,simple,pseudo,,"['K', 'R', 'AA1', 'R']","['K', 'R', 'AA', 'R']",PSS
171,crat,short,4,,,simple,pseudo,,"['K', 'R', 'AE1', 'T']","['K', 'R', 'AE', 'T']",PSS
172,cray,short,3,,,simple,pseudo,,"['K', 'R', 'EY1']","['K', 'R', 'EY']",PSS
173,dack,short,3,,,simple,pseudo,,"['D', 'AE1', 'K']","['D', 'AE', 'K']",PSS
174,dack,short,3,,,simple,pseudo,,"['D', 'AE1', 'K']","['D', 'AE', 'K']",PSS
175,daia,short,3,,,simple,pseudo,,"['D', 'EY1', 'AH0']","['D', 'EY', 'AH']",PSS
176,dain,short,3,,,simple,pseudo,,"['D', 'EY1', 'N']","['D', 'EY', 'N']",PSS
177,daip,short,3,,,simple,pseudo,,"['D', 'EY1', 'P']","['D', 'EY', 'P']",PSS
178,daip,short,3,,,simple,pseudo,,"['D', 'EY1', 'P']","['D', 'EY', 'P']",PSS
179,dall,short,3,,,simple,pseudo,,"['D', 'AO1', 'L']","['D', 'AO', 'L']",PSS
180,duid,short,3,,,simple,pseudo,,"['D', 'UW1', 'D']","['D', 'UW', 'D']",PSS
181,duid,short,3,,,simple,pseudo,,"['D', 'UW1', 'D']","['D', 'UW', 'D']",PSS
182,duip,short,3,,,simple,pseudo,,"['D', 'UW1', 'P']","['D', 'UW', 'P']",PSS
183,duip,short,3,,,simple,pseudo,,"['D', 'UW1', 'P']","['D', 'UW', 'P']",PSS
184,foab,short,3,,,simple,pseudo,,"['F', 'OW1', 'B']","['F', 'OW', 'B']",PSS
185,foay,short,3,,,simple,pseudo,,"['F', 'OW1', 'IY0']","['F', 'OW', 'IY']",PSS
186,gack,short,3,,,simple,pseudo,,"['G', 'AE1', 'K']","['G', 'AE', 'K']",PSS
